epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,3770.45,1.67382,1.98467,2.20562,0.69057,0.73134,0.72656,0.41429,1.53841,1.78012,2.16259,0.003664,0.003664,0.003664
34,3873.16,1.62332,1.83152,2.1992,0.64717,0.83333,0.79534,0.42655,1.6736,1.74701,2.22531,0.003466,0.003466,0.003466
35,3973.43,1.6696,1.81157,2.24202,0.85809,0.62247,0.70641,0.3845,1.60914,1.82606,2.18876,0.003268,0.003268,0.003268
36,4076.08,1.63235,1.76915,2.1933,0.88779,0.53516,0.68691,0.39864,1.61339,1.81803,2.18141,0.00307,0.00307,0.00307
37,4178.19,1.60062,1.80398,2.15948,0.62485,0.77778,0.78032,0.45116,1.55357,1.71669,2.14823,0.002872,0.002872,0.002872
38,4280.49,1.58352,1.74542,2.17455,0.67285,0.77778,0.77285,0.43062,1.63644,1.64524,2.22503,0.002674,0.002674,0.002674
39,4381.54,1.50492,1.78289,2.0999,0.65571,0.77778,0.77599,0.46655,1.46172,1.5707,2.08294,0.002476,0.002476,0.002476
40,4484.4,1.48291,1.75355,2.05331,0.8498,0.75633,0.77358,0.48744,1.49843,1.55534,2.08963,0.002278,0.002278,0.002278
41,4587.76,1.21633,1.82172,1.91241,0.85221,0.72666,0.75884,0.37251,1.87833,1.734,2.37618,0.00208,0.00208,0.00208
42,4688.8,1.24486,1.79744,1.95937,0.69442,0.76389,0.76369,0.45139,1.56781,1.62158,2.10884,0.001882,0.001882,0.001882
43,4789.47,1.18278,1.63111,1.87009,0.69265,0.81944,0.68506,0.36905,1.61896,1.6504,2.14227,0.001684,0.001684,0.001684
44,4891.52,1.10212,1.52988,1.78446,0.89333,0.61346,0.70409,0.36861,1.56623,1.63355,2.09499,0.001486,0.001486,0.001486
45,4993.8,1.08986,1.4625,1.74973,0.92815,0.63763,0.81874,0.46927,1.43659,1.53204,2.00308,0.001288,0.001288,0.001288
46,5094.82,1.11835,1.46339,1.81265,0.69033,0.83333,0.82689,0.47751,1.47254,1.52788,2.01884,0.00109,0.00109,0.00109
47,5196.43,1.1172,1.43699,1.82806,0.75209,0.83333,0.82689,0.49412,1.39512,1.48042,1.97337,0.000892,0.000892,0.000892
48,5298.27,1.03959,1.39587,1.73134,0.80963,0.83075,0.82462,0.46657,1.54856,1.53505,2.0796,0.000694,0.000694,0.000694
49,5400.69,1.05955,1.39992,1.72395,0.83722,0.81708,0.82564,0.47176,1.51985,1.50611,2.05382,0.000496,0.000496,0.000496
50,5503.61,1.02939,1.37874,1.73226,0.82108,0.82974,0.82564,0.48947,1.4752,1.48915,2.01369,0.000298,0.000298,0.000298
